pair_id,ref_path,wide_path,gt_x,gt_y,group,variable,step,style,pitch_nm,rotation_deg,landmark_nm,wide_res_nm,wide_blur_nm,wide_dose,rationale
C00,images/C00_ref.png,images/C00_wide.png,560.0,470.0,L1 dose ladder,wide-view dose (electrons/grey),1,dram,130.0,1.8,300.0,25.77,10.08,24.0,"Identical layout, identical reference, identical placement; only the survey dose changes (24.0 e/grey, i.e. a noise ratio of 1.3x versus the reference). This isolates pure photon-starvation: where the method breaks along this ladder is its noise limit, with no other variable to confound it."
C01,images/C01_ref.png,images/C01_wide.png,560.0,470.0,L1 dose ladder,wide-view dose (electrons/grey),2,dram,130.0,1.8,300.0,25.77,10.08,12.0,"Identical layout, identical reference, identical placement; only the survey dose changes (12.0 e/grey, i.e. a noise ratio of 1.8x versus the reference). This isolates pure photon-starvation: where the method breaks along this ladder is its noise limit, with no other variable to confound it."
C02,images/C02_ref.png,images/C02_wide.png,560.0,470.0,L1 dose ladder,wide-view dose (electrons/grey),3,dram,130.0,1.8,300.0,25.77,10.08,6.0,"Identical layout, identical reference, identical placement; only the survey dose changes (6.0 e/grey, i.e. a noise ratio of 2.6x versus the reference). This isolates pure photon-starvation: where the method breaks along this ladder is its noise limit, with no other variable to confound it."
C03,images/C03_ref.png,images/C03_wide.png,560.0,470.0,L1 dose ladder,wide-view dose (electrons/grey),4,dram,130.0,1.8,300.0,25.77,10.08,3.0,"Identical layout, identical reference, identical placement; only the survey dose changes (3.0 e/grey, i.e. a noise ratio of 3.7x versus the reference). This isolates pure photon-starvation: where the method breaks along this ladder is its noise limit, with no other variable to confound it."
C04,images/C04_ref.png,images/C04_wide.png,560.0,470.0,L1 dose ladder,wide-view dose (electrons/grey),5,dram,130.0,1.8,300.0,25.77,10.08,1.5,"Identical layout, identical reference, identical placement; only the survey dose changes (1.5 e/grey, i.e. a noise ratio of 5.2x versus the reference). This isolates pure photon-starvation: where the method breaks along this ladder is its noise limit, with no other variable to confound it."
C05,images/C05_ref.png,images/C05_wide.png,560.0,470.0,L1 dose ladder,wide-view dose (electrons/grey),6,dram,130.0,1.8,300.0,25.77,10.08,0.8,"Identical layout, identical reference, identical placement; only the survey dose changes (0.8 e/grey, i.e. a noise ratio of 7.1x versus the reference). This isolates pure photon-starvation: where the method breaks along this ladder is its noise limit, with no other variable to confound it."
C06,images/C06_ref.png,images/C06_wide.png,430.0,605.0,L2 periodicity ladder,array pitch (nm),1,dram,300.0,1.2,300.0,25.77,10.08,6.0,"Pitch 300 nm gives 30.0 px per period in the wide view. Above Nyquist, the array resolves normally. Walking the pitch down while holding the landmark fixed separates 'cannot resolve the array' from 'cannot find the landmark'."
C07,images/C07_ref.png,images/C07_wide.png,430.0,605.0,L2 periodicity ladder,array pitch (nm),2,dram,190.0,1.2,300.0,25.77,10.08,6.0,"Pitch 190 nm gives 19.0 px per period in the wide view. Above Nyquist, the array resolves normally. Walking the pitch down while holding the landmark fixed separates 'cannot resolve the array' from 'cannot find the landmark'."
C08,images/C08_ref.png,images/C08_wide.png,430.0,605.0,L2 periodicity ladder,array pitch (nm),3,dram,120.0,1.2,300.0,25.77,10.08,6.0,"Pitch 120 nm gives 12.0 px per period in the wide view. Above Nyquist, the array resolves normally. Walking the pitch down while holding the landmark fixed separates 'cannot resolve the array' from 'cannot find the landmark'."
C09,images/C09_ref.png,images/C09_wide.png,430.0,605.0,L2 periodicity ladder,array pitch (nm),4,dram,70.0,1.2,300.0,25.77,10.08,6.0,"Pitch 70 nm gives 7.0 px per period in the wide view. Above Nyquist, the array resolves normally. Walking the pitch down while holding the landmark fixed separates 'cannot resolve the array' from 'cannot find the landmark'."
C10,images/C10_ref.png,images/C10_wide.png,430.0,605.0,L2 periodicity ladder,array pitch (nm),5,dram,42.0,1.2,300.0,25.77,10.08,6.0,"Pitch 42 nm gives 4.2 px per period in the wide view. Above Nyquist, the array resolves normally. Walking the pitch down while holding the landmark fixed separates 'cannot resolve the array' from 'cannot find the landmark'."
C11,images/C11_ref.png,images/C11_wide.png,430.0,605.0,L2 periodicity ladder,array pitch (nm),6,dram,26.0,1.2,300.0,25.77,10.08,6.0,"Pitch 26 nm gives 2.6 px per period in the wide view. At or below the two-pixel Nyquist limit the array folds into moire rather than resolving, so the periodic background stops being usable evidence and the landmark carries the entire signal. Walking the pitch down while holding the landmark fixed separates 'cannot resolve the array' from 'cannot find the landmark'."
C12,images/C12_ref.png,images/C12_wide.png,500.0,500.0,L3 saliency ladder,landmark size (nm),1,dram,120.0,2.6,340.0,25.77,10.08,6.0,"Landmark 340 nm against an effective wide resolution of 26 nm, a ratio of 13.2. Comfortably resolved. Every other parameter is held fixed, so this measures exactly how much aperiodic signal the method needs."
C13,images/C13_ref.png,images/C13_wide.png,500.0,500.0,L3 saliency ladder,landmark size (nm),2,dram,120.0,2.6,220.0,25.77,10.08,6.0,"Landmark 220 nm against an effective wide resolution of 26 nm, a ratio of 8.5. Comfortably resolved. Every other parameter is held fixed, so this measures exactly how much aperiodic signal the method needs."
C14,images/C14_ref.png,images/C14_wide.png,500.0,500.0,L3 saliency ladder,landmark size (nm),3,dram,120.0,2.6,140.0,25.77,10.08,6.0,"Landmark 140 nm against an effective wide resolution of 26 nm, a ratio of 5.4. Marginal: the aperiodic feature is approaching the resolution limit. Every other parameter is held fixed, so this measures exactly how much aperiodic signal the method needs."
C15,images/C15_ref.png,images/C15_wide.png,500.0,500.0,L3 saliency ladder,landmark size (nm),4,dram,120.0,2.6,90.0,25.77,10.08,6.0,"Landmark 90 nm against an effective wide resolution of 26 nm, a ratio of 3.5. Marginal: the aperiodic feature is approaching the resolution limit. Every other parameter is held fixed, so this measures exactly how much aperiodic signal the method needs."
C16,images/C16_ref.png,images/C16_wide.png,500.0,500.0,L3 saliency ladder,landmark size (nm),5,dram,120.0,2.6,55.0,25.77,10.08,6.0,"Landmark 55 nm against an effective wide resolution of 26 nm, a ratio of 2.1. Below the floor - the disambiguating feature is not recorded in the wide view at all, so this pair is unsolvable by construction and is included deliberately as the endpoint of the ladder. Every other parameter is held fixed, so this measures exactly how much aperiodic signal the method needs."
C17,images/C17_ref.png,images/C17_wide.png,500.0,500.0,L3 saliency ladder,landmark size (nm),6,dram,120.0,2.6,32.0,25.77,10.08,6.0,"Landmark 32 nm against an effective wide resolution of 26 nm, a ratio of 1.2. Below the floor - the disambiguating feature is not recorded in the wide view at all, so this pair is unsolvable by construction and is included deliberately as the endpoint of the ladder. Every other parameter is held fixed, so this measures exactly how much aperiodic signal the method needs."
C18,images/C18_ref.png,images/C18_wide.png,442.5723,586.1172,S1 off-centre placement,selected case,1,finfet,51.49,4.631,225.7,34.73,14.12,2.521,"Target placed far from centre, well outside the stage-accuracy prior. Tests whether the method genuinely searches or has learned to bias its prediction toward the image centre, which the stage prior would reward on most pairs."
C19,images/C19_ref.png,images/C19_wide.png,259.7509,210.4881,S2 heavy rotation,selected case,1,dram,84.8,1.241,400.0,24.44,9.47,6.237,"Rotation near the top of the range the problem statement allows. Over a 100 px footprint this displaces corners by several pixels, so a translation-only matcher degrades here while a rotation-aware one does not."
C20,images/C20_ref.png,images/C20_wide.png,843.5574,66.0361,S3 charging artefacts,selected case,1,finfet,274.43,1.899,400.0,40.19,16.53,2.565,"Wide view carries charge-induced bands and fast-scan streaks. These are large, smooth, non-structural intensity changes that defeat any matcher keying on absolute grey level rather than local structure."
C21,images/C21_ref.png,images/C21_wide.png,516.377,482.094,S4 FinFET one-dimensional periodicity,selected case,1,finfet,285.14,2.645,346.7,19.5,7.11,4.892,"Parallel fins are periodic along one axis only, so correlation is sharply peaked across the fins and nearly flat along them. Error should be strongly anisotropic - a single scalar accuracy figure hides this."
C22,images/C22_ref.png,images/C22_wide.png,96.9977,630.1924,"S5 aliased array, salient landmark",selected case,1,finfet,118.66,3.229,358.1,19.79,7.25,8.029,Array folds into moire while the landmark stays well resolved. The correct behaviour is to ignore the background entirely; a method that weights all pixels equally is actively misled by the aliased texture.
C23,images/C23_ref.png,images/C23_wide.png,420.5704,532.5973,S6 low dose and heavy defocus together,selected case,1,dram,26.44,4.385,140.7,17.45,6.07,3.991,Both degradations at once. Included because failure modes are not independent: blur removes the high-frequency content that would otherwise survive the noise.
C24,images/C24_ref.png,images/C24_wide.png,819.1206,584.2387,"S7 large landmark, little context",selected case,1,finfet,299.16,1.368,211.7,34.57,14.05,4.287,"The aperiodic feature dominates the reference, leaving little periodic surround. Easy to localise coarsely but the sub-pixel estimate rests on a few long edges rather than a dense lattice."
C25,images/C25_ref.png,images/C25_wide.png,565.3343,434.1353,"S8 minimal landmark, dense context",selected case,1,dram,315.76,0.861,64.8,42.52,17.55,3.321,"The mirror of S7: a small landmark inside a strongly periodic field, which is the classic many-near-identical-peaks case the centre tie-break exists to resolve."
C26,images/C26_ref.png,images/C26_wide.png,537.2929,491.7313,S9 strong drift shear,selected case,1,dram,91.23,1.709,400.0,45.29,18.75,12.022,Slow stage creep during the raster shears the wide field. A rigid matcher accumulates a systematic offset that grows down the image.
C27,images/C27_ref.png,images/C27_wide.png,668.9638,697.1613,S10 vibration serration,selected case,1,finfet,273.95,1.853,184.1,31.68,12.76,3.523,"Per-scanline displacement serrates edges that should be straight, adding high-frequency error exactly where sub-pixel refinement takes its signal."
C28,images/C28_ref.png,images/C28_wide.png,430.1334,653.3207,"S11 coarse pitch, near-uniform background",selected case,1,finfet,294.32,0.937,400.0,35.03,14.26,3.958,Very relaxed pitch leaves large flat areas with little texture to lock onto away from the landmark.
C29,images/C29_ref.png,images/C29_wide.png,542.1322,649.3504,S12 below-floor failure case,selected case,1,dram,118.28,1.187,211.4,26.28,10.32,2.359,"Deliberately unsolvable: the landmark falls under the visibility floor for this blur. Included as the honest failure case - the useful output here is a low-confidence flag, not a coordinate."
