pair_id,ref_path,wide_path,gt_x,gt_y,style,regime,pitch_nm,rotation_deg,landmark,landmark_size_nm,landmark_wide_px,difficulty,size_over_res,coarse_period_nm,n_instances,ler_3sigma_nm,ler_xi_nm,wide_res_nm,placement,ref_blur_nm,wide_blur_nm,ref_dose,wide_dose,wide_charging,ref_drift_nm,wide_drift_nm,ref_vib_nm,wide_vib_nm,render_mode,seed
03010000,images/03010000_ref.png,images/03010000_wide.png,460.0706,474.7169,finfet,resolved,201.566,1.9583,plus,298.74,29.87,normal,16.384,2408.2,49,3.42,11.17,18.23,stage_prior_periodic,1.324,6.474,52.365118713787744,17.661160286206208,0.0,2.25,3.09,0.58,4.42,physical,3010000
03010001,images/03010001_ref.png,images/03010001_wide.png,500.5844,553.6263,finfet,resolved,140.164,3.8602,plus,56.1,5.61,below_floor,1.278,2260.1,81,2.26,10.38,43.89,stage_prior_periodic,1.6,18.145,38.21463489871256,5.578543589209652,0.0,0.57,8.24,1.02,0.73,physical,3010001
03010002,images/03010002_ref.png,images/03010002_wide.png,454.6732,508.7345,dram,coarse,58.153,1.5627,pad,249.48,24.95,normal,16.248,0.0,1,2.08,12.07,15.36,stage_prior,0.889,4.948,43.412194250951,3.279176465545791,2.024,2.81,9.42,0.08,2.15,physical,3010002
03010003,images/03010003_ref.png,images/03010003_wide.png,466.4712,471.5726,dram,resolved,91.384,2.6009,pad,400.0,40.0,normal,11.971,2144.7,81,2.69,8.47,33.41,stage_prior_periodic,1.135,13.538,51.6354759087514,8.136840546930516,0.0,3.03,5.64,0.36,6.32,physical,3010003
03010004,images/03010004_ref.png,images/03010004_wide.png,506.0641,402.885,finfet,aliased,37.014,4.2252,plus,185.89,18.59,hard,5.962,2564.9,49,3.68,10.67,31.18,stage_prior_periodic,1.572,12.541,52.542141314142945,19.950087580400144,2.625,1.52,12.64,0.08,4.64,physical,3010004
03010005,images/03010005_ref.png,images/03010005_wide.png,578.1462,536.53,dram,resolved,125.013,3.7917,plus,400.0,40.0,normal,11.208,3903.3,25,3.41,8.95,35.69,stage_prior_periodic,0.819,14.548,36.257296136250616,3.170909227015632,0.0,0.17,5.06,0.28,1.16,physical,3010005
03010006,images/03010006_ref.png,images/03010006_wide.png,445.7984,464.1257,dram,resolved,72.485,0.4005,plus,79.11,7.91,below_floor,1.927,0.0,1,2.82,10.45,41.05,stage_prior,1.034,16.905,53.52999353641877,8.305416562157705,0.0,0.36,8.2,1.08,4.8,physical,3010006
03010007,images/03010007_ref.png,images/03010007_wide.png,750.3553,796.469,dram,aliased,28.527,3.7098,pad,73.28,7.33,below_floor,1.743,0.0,1,3.34,9.52,42.04,uniform,0.806,17.339,45.55005703890234,4.9172689298906,1.285,0.05,8.18,1.08,2.53,physical,3010007
03010008,images/03010008_ref.png,images/03010008_wide.png,469.1058,388.9904,dram,resolved,180.822,0.3661,pad,400.0,40.0,normal,10.121,3929.8,25,3.47,9.36,39.52,stage_prior_periodic,1.197,16.235,38.288915441506894,13.599226149958916,3.27,1.38,4.51,1.36,5.03,physical,3010008
03010009,images/03010009_ref.png,images/03010009_wide.png,737.7941,817.8609,finfet,resolved,85.163,3.3747,plus,176.07,17.61,normal,10.373,0.0,1,3.04,9.37,16.97,stage_prior,0.919,5.824,47.91402160248799,3.45218089486375,0.569,0.46,1.4,0.94,0.0,physical,3010009
03010010,images/03010010_ref.png,images/03010010_wide.png,501.712,498.8388,finfet,resolved,291.672,0.1639,pad,400.0,40.0,normal,16.362,2885.8,49,3.8,9.54,24.45,stage_prior_periodic,1.565,9.472,33.10173641156909,2.1537720979717947,3.001,2.12,4.99,0.34,0.36,physical,3010010
03010011,images/03010011_ref.png,images/03010011_wide.png,383.8742,327.004,finfet,aliased,40.044,3.6641,plus,400.0,40.0,normal,8.817,0.0,1,2.54,7.43,45.37,stage_prior,1.367,18.791,40.50005425677535,2.582511996464419,0.0,0.54,6.24,0.96,3.89,physical,3010011
03010012,images/03010012_ref.png,images/03010012_wide.png,661.9202,388.132,finfet,resolved,294.92,2.3571,pad,400.0,40.0,normal,11.694,0.0,1,3.71,10.36,34.21,stage_prior,1.468,13.89,46.55154744065085,9.342544433708879,3.168,2.88,6.56,0.16,7.4,physical,3010012
03010013,images/03010013_ref.png,images/03010013_wide.png,476.3797,586.143,finfet,resolved,102.031,4.7897,plus,400.0,40.0,normal,10.688,2228.4,81,2.61,9.25,37.42,stage_prior_periodic,0.867,15.313,47.885025076918566,3.8164713399360606,0.0,1.7,9.65,0.23,6.51,physical,3010013
03010014,images/03010014_ref.png,images/03010014_wide.png,445.1732,540.3721,dram,aliased,29.39,1.2709,plus,400.0,40.0,normal,9.386,0.0,1,2.47,12.56,42.62,stage_prior,0.902,17.59,50.73828251903261,4.473873968235453,0.065,1.82,9.75,1.09,0.47,physical,3010014
03010015,images/03010015_ref.png,images/03010015_wide.png,506.5735,437.4426,finfet,coarse,47.036,4.7259,pad,283.74,28.37,normal,11.551,1918.9,81,2.3,12.88,24.56,stage_prior_periodic,1.204,9.527,48.62028860988994,6.396709813241277,0.083,3.48,11.9,0.39,2.25,physical,3010015
03010016,images/03010016_ref.png,images/03010016_wide.png,276.5796,530.9965,dram,coarse,60.045,4.7287,pad,101.12,10.11,below_floor,2.415,0.0,1,3.23,7.48,41.87,uniform,0.935,17.263,49.4070579592431,4.840561846839742,0.0,2.8,11.98,0.33,6.06,physical,3010016
03010017,images/03010017_ref.png,images/03010017_wide.png,339.5965,294.2369,dram,resolved,201.41,1.8464,plus,47.29,4.73,below_floor,2.362,0.0,1,2.3,7.55,20.02,stage_prior,1.088,7.363,35.525924436674096,5.463324638731312,1.214,3.67,4.6,0.31,4.22,physical,3010017
03010018,images/03010018_ref.png,images/03010018_wide.png,501.4035,501.7614,finfet,resolved,183.129,4.3988,plus,300.17,30.02,normal,9.363,2516.4,49,2.97,11.69,32.06,stage_prior_periodic,1.326,12.933,43.975251694030476,4.403724158685062,0.0,2.09,12.2,1.21,7.45,physical,3010018
03010019,images/03010019_ref.png,images/03010019_wide.png,554.1446,515.2068,dram,resolved,221.109,2.063,plus,304.67,30.47,hard,7.384,3599.4,25,3.84,7.81,41.26,stage_prior_periodic,1.567,16.998,27.768648343424196,5.1348651361137065,0.0,2.43,0.19,0.83,5.01,physical,3010019
03010020,images/03010020_ref.png,images/03010020_wide.png,646.9408,519.5891,dram,resolved,204.567,1.8388,pad,133.97,13.4,hard,5.059,0.0,1,2.71,11.4,26.48,stage_prior,0.917,10.413,44.14342130394343,2.9789228029839383,0.0,0.54,13.25,1.11,2.52,physical,3010020
03010021,images/03010021_ref.png,images/03010021_wide.png,479.1407,559.2873,finfet,resolved,207.463,4.5297,pad,306.85,30.68,normal,15.712,3966.7,25,3.36,8.91,19.53,stage_prior_periodic,1.538,7.123,38.53356776056327,2.661516108426511,0.0,1.05,2.9,0.14,6.64,physical,3010021
03010022,images/03010022_ref.png,images/03010022_wide.png,372.5039,524.706,finfet,resolved,95.92,2.4416,plus,131.25,13.13,hard,5.193,3088.3,49,3.1,12.99,25.27,stage_prior_periodic,1.187,9.857,35.108733792408685,5.098603205906934,1.229,1.27,7.76,0.1,6.33,physical,3010022
03010023,images/03010023_ref.png,images/03010023_wide.png,486.9431,503.3876,finfet,coarse,57.015,2.0837,plus,389.44,38.94,normal,18.344,2672.9,49,3.07,10.98,21.23,stage_prior_periodic,1.255,7.952,49.78853695740717,3.8681499486640414,2.434,2.05,1.48,0.08,7.49,physical,3010023
03010024,images/03010024_ref.png,images/03010024_wide.png,523.3908,474.6696,finfet,coarse,49.761,2.8119,plus,192.12,19.21,hard,6.681,2255.4,81,3.41,8.88,28.75,stage_prior_periodic,1.576,11.448,41.36859100417129,4.701741849553806,0.0,0.13,0.21,0.96,7.21,physical,3010024
03010025,images/03010025_ref.png,images/03010025_wide.png,842.7139,64.09,finfet,aliased,33.645,0.1679,plus,141.08,14.11,normal,9.64,0.0,1,2.48,9.69,14.64,uniform,0.909,4.537,28.393956794356892,3.3812803085266867,0.0,3.97,10.41,1.38,3.56,physical,3010025
03010026,images/03010026_ref.png,images/03010026_wide.png,522.8274,673.5749,finfet,resolved,207.185,4.1057,pad,356.69,35.67,normal,10.337,0.0,1,3.42,11.07,34.51,stage_prior,1.536,14.024,56.550735990856666,13.448997862581887,0.0,3.52,10.83,0.6,1.85,physical,3010026
03010027,images/03010027_ref.png,images/03010027_wide.png,610.0419,555.0835,finfet,resolved,190.998,1.5622,pad,244.91,24.49,normal,8.548,0.0,1,3.43,7.53,28.65,stage_prior,1.042,11.401,29.284387379409598,2.8097405653742475,1.801,1.31,3.44,0.38,1.74,physical,3010027
